Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,num_academia,num_company
123,Predicting User Roles from Computer Logs Using Recurrent Neural Networks,Western Washington University,Pacific Northwest National Laboratory,"516 High Street, Bellingham, WA 98229",,,,,,,,,,,,,,,,,,,5.0,0.0
124,Nonnegative Orthogonal Graph Matching,Anhui University,Anhui University,Anhui University,The University of Texas at Arlington,Anhui University,,,,,,,,,,,,,,,,,5.0,0.0
125,A Fast Algorithm to Compute Maximum k-Plexes in Social Network Analysis,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,Teesside University,,,,,,,,,,,,,,,,,,4.0,0.0
126,The State of the AIIDE Conference in 2017,Computer Science Department,"School of Literature, Communication and Culture Georgia Institute of Technolog",,,,,,,,,,,,,,,,,,,,2.0,0.0
127,Deep MIML Network *,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,2.0,0.0
128,Joint Identification of Network Communities and Semantics via Integrative Modeling of Network Topologies and Node Contents,Tianjin University,Tianjin University,Tianjin University,Tianjin University,Jianghan University,Washington University in St. Louis,,,,,,,,,,,,,,,,6.0,0.0
129,On Pareto Optimality in Social Distance Games,Gran Sasso Science Institute,University of L'Aquila,Gran Sasso Science Institute,,,,,,,,,,,,,,,,,,,3.0,0.0
130,Security Games on a Plane,Nanyang Technological University,Nanyang Technological University,Vanderbilt University,Vanderbilt University,,,,,,,,,,,,,,,,,,4.0,0.0
131,Unsupervised Learning of Multi-Level Descriptors for Person Re-Identification, Center for Biometrics and Security Research & National Laboratory of Pattern Recognition,Chinese Academy of Sciences,"University at Albany, State University of New York","University at Albany, State University of New York", Center for Biometrics and Security Research & National Laboratory of Pattern Recognition,Chinese Academy of Sciences,,,,,,,,,,,,,,,,4.0,0.0
132,Text-Guided Attention Model for Image Captioning,Pohang University of Science and Technology,Pohang University of Science and Technology,Pohang University of Science and Technology,,,,,,,,,,,,,,,,,,,3.0,0.0
